"UPC","Description","Cat","Parent Brand","Brand","HHID","Store","date","qty","price","Online"
1600014024,"GM MAPLE CHEERIOS 10.8Z","RTE Cereal","Big G","CHEERIOS",66202,10,"20-06-07",1,3.49,0
3800020074,"KELLOGG'S® SPECIAL K® RED BERRIES CEREAL","RTE Cereal","Kelloggs","SPECIAL K",11798,15,"19-10-06",1,3.99,0
3800000110,"Kellogg Corn Flakes","RTE Cereal","Kelloggs","CORN FLAKES",280543,20,"19-12-31",1,4.29,0
3800020074,"KELLOGG'S® SPECIAL K® RED BERRIES CEREAL","RTE Cereal","Kelloggs","SPECIAL K",273956,6,"20-06-15",1,3.69,0
1600012222,"GENERAL MILLS REESES PEANUT BUTTER WHOLE GRAIN OAT BOX FROSTED 11.5 OZ - 0016000122221","RTE Cereal","Big G","REESES PUFFS",371407,7,"20-05-02",1,3.49,0
88491212974,"PST FRTY PBLS FAMILY SIZE","RTE Cereal","Post","Pebbles",228227,1,"20-12-09",1,4.19,0
3800019987,"KELLOGG RAISIN BRAN","RTE Cereal","Kelloggs","Raisin Bran",79931,56,"21-08-13",1,3.99,1
3800086360,"RICE KRISPIES CEREAL CUP","RTE Cereal","Kelloggs","RICE KRISPIES/COCOA KRISPIES",19538,1,"20-03-22",1,1.29,0
3800059923,"KELLOGG SPEC K RED BERRIES","RTE Cereal","Kelloggs","SPECIAL K",273880,20,"19-02-11",2,7.98,0
1600012222,"GENERAL MILLS REESES PEANUT BUTTER WHOLE GRAIN OAT BOX FROSTED 11.5 OZ - 0016000122221","RTE Cereal","Big G","REESES PUFFS",356560,21,"20-11-06",1,3.49,0
1600014159,"CHEERIOS CEREAL CUP","RTE Cereal","Big G","CHEERIOS",226664,19,"19-08-07",3,3.57,0
88462310165,"BEAR NKD CACAO CSHW BTR","RTE Cereal","Bear Naked","Bear Naked",341973,23,"21-01-18",1,4.39,0
88491230817,"POST HBO APLCRL CRNH13Z","RTE Cereal","Post","Honey Bunches of Oats",210838,24,"19-07-13",1,3.99,0
1600048772,"G M CHEERIOS CEREAL","RTE Cereal","Big G","CHEERIOS",201161,27,"20-11-21",1,4.29,0
3800019973,"KELLOGG CRL RSN BRAN CRNCH","RTE Cereal","Kelloggs","Raisin Bran",66253,10,"21-08-25",1,3.59,0
3800019934,"KEL FRST BTSZ MNI WHTS","RTE Cereal","Kelloggs","Mini Wheats",156948,10,"19-06-23",1,3.99,0
88491201786,"POST HBO VANILLA CLUSTER","RTE Cereal","Post","Honey Bunches of Oats",326591,26,"20-04-06",1,3.99,0
3000006567,"QKR CAP'N CRNCH CRNCHBRY","RTE Cereal","Quaker","Cap'n Crunch",244609,22,"19-07-12",1,4.49,0
88491211460,"POST RAISIN BRAN CEREAL","RTE Cereal","Post","POST RAISIN BRAN",316632,17,"19-09-29",2,7.98,0
67562535906,"ONEDEG OATGRN QCACAO11","RTE Cereal","All Other","ONE DEGREE ORGANIC FOODS",153946,14,"19-03-14",1,5.49,0
1600027526,"G M CHEERIOS CEREAL","RTE Cereal","Big G","CHEERIOS",253057,22,"20-07-10",1,3.69,0
1600012479,"GENERAL MILLS HONEY NUT CHEERIOS HONEY NUT WHOLE GRAIN OAT BOX SWEETENED 10.8 OZ - 0016000124791","RTE Cereal","Big G","CHEERIOS",251154,16,"21-02-07",1,3.49,0
88491200471,"POST GRAPE NUTS ORIGINAL","RTE Cereal","Post","GRAPE NUTS",183516,14,"21-08-14",1,4.39,0
65585200023,"AURORA NUT/HONEY GRANOLA","RTE Cereal","All Other","AURORA NATURAL",732,15,"19-08-01",1,5.99,0
1600027563,"GEN MILLTOTAL-WHOLE GRAIN","RTE Cereal","Big G","Total",359459,5,"21-08-20",1,4.59,0
1600015128,"GEN MILLS COCOA PUFFS CEREAL","RTE Cereal","Big G","Cocoa Puffs",303883,21,"19-11-22",1,3.79,0
3000006354,"QKR LIFE CEREAL 13OZ","RTE Cereal","Quaker","LIFE",364464,20,"19-07-04",1,3.99,0
1600027526,"G M CHEERIOS CEREAL","RTE Cereal","Big G","CHEERIOS",249394,24,"19-01-19",2,7.38,0
1600043268,"NATURE VALLEY OATS & HONEY GRANOLA","RTE Cereal","Big G","NATURE VALLEY",149935,18,"20-02-24",1,4.49,0
88491200680,"POST HBO HONEY ROASTED VALUE S","RTE Cereal","Post","Honey Bunches of Oats",214261,27,"20-09-13",1,5.19,0
3800019849,"KLG APL JACKS10.1Z","RTE Cereal","Kelloggs","APPLE JACKS",144466,1,"20-10-19",1,3.99,0
1600012315,"GM HON NT CHERIOS 19.5Z","RTE Cereal","Big G","CHEERIOS",317667,15,"19-12-15",1,4.59,0
4240023138,"MALT-O-MEAL GOLDEN PUFFS","RTE Cereal","Malt O Meal","MALT O MEAL",418386,5,"21-08-08",1,4.29,0
1600012399,"GENERAL MILLS LUCKY CHARMS TOASTED OAT BOX FROSTED 10.5 OZ - 0016000123991","RTE Cereal","Big G","Lucky Charms",187214,21,"21-02-07",1,3.79,0
3800019994,"KLG RICE KRISPIES 12Z","RTE Cereal","Kelloggs","RICE KRISPIES/COCOA KRISPIES",241684,18,"20-08-17",1,4.49,0
1600015129,"GMI COCOA PUFFS CEREAL LG","RTE Cereal","Big G","Cocoa Puffs",143739,22,"20-03-21",1,4.79,0
1600012683,"GM LUCKY CHARMS 19.3Z","RTE Cereal","Big G","Lucky Charms",230187,8,"20-05-19",2,9.58,0
1600048588,"PROTEIN GRANOLA CRANBRY ALMND","RTE Cereal","Big G","NATURE VALLEY",273905,12,"20-08-19",1,4.49,0
3800019888,"KLG FROOT LOOPS 14.7Z","RTE Cereal","Kelloggs","Froot Loops",306821,7,"19-05-11",1,5.19,0
1600012222,"GENERAL MILLS REESES PEANUT BUTTER WHOLE GRAIN OAT BOX FROSTED 11.5 OZ - 0016000122221","RTE Cereal","Big G","REESES PUFFS",140666,5,"20-08-26",1,3.49,0
1600012593,"GM CINN TST CRNCH 16.8Z","RTE Cereal","Big G","TOAST CRUNCH",104526,15,"20-01-22",1,4.39,0
3800020074,"KELLOGG'S® SPECIAL K® RED BERRIES CEREAL","RTE Cereal","Kelloggs","SPECIAL K",276284,13,"19-12-04",1,3.99,0
3800019906,"KLG FRSTD FLAKES19.2Z","RTE Cereal","Kelloggs","FROSTED FLAKES",1097,10,"19-09-01",1,4.99,0
1600012222,"GENERAL MILLS REESES PEANUT BUTTER WHOLE GRAIN OAT BOX FROSTED 11.5 OZ - 0016000122221","RTE Cereal","Big G","REESES PUFFS",275038,17,"19-01-19",1,3.49,0
88491212971,"POST FRUITY PEBBLE 11Z","RTE Cereal","Post","Pebbles",50470,16,"21-03-21",1,3.39,0
3000006354,"QKR LIFE CEREAL 13OZ","RTE Cereal","Quaker","LIFE",391920,14,"21-03-05",1,3.99,0
1600015128,"GEN MILLS COCOA PUFFS CEREAL","RTE Cereal","Big G","Cocoa Puffs",134856,7,"20-09-03",1,3.79,0
1600015142,"GMI COCOA PUFFS CEREAL FS","RTE Cereal","Big G","Cocoa Puffs",228854,19,"20-11-02",1,4.99,0
3800019901,"KLLGG FROOT LOOPS CEREAL MARSHMALLOW","RTE Cereal","Kelloggs","Froot Loops",235196,25,"20-09-27",1,3.49,0
3000006354,"QKR LIFE CEREAL 13OZ","RTE Cereal","Quaker","LIFE",261252,22,"20-09-20",1,3.99,0
1862751003,"KASHI HEART BLUBRY CLSTR","RTE Cereal","Kashi","Kashi",31721,20,"21-07-19",1,3.99,0
3000056807,"CAPTAIN CRUNCH COTTON CANDY SWEETENED","RTE Cereal","Quaker","Cap'n Crunch",385280,23,"20-08-27",1,4.29,0
1600012683,"GM LUCKY CHARMS 19.3Z","RTE Cereal","Big G","Lucky Charms",73358,14,"21-04-17",2,9.58,1
